respondent_id,employee_id,team_id,zuversicht_item1,zuversicht_item2,zuversicht_item3,zuversicht_item4,zuversicht_item5,richtung_item1,richtung_item2,richtung_item3,richtung_item4,richtung_item5,energie_item1,energie_item2,energie_item3,energie_item4,energie_item5,authentische_verbundenheit_item1,authentische_verbundenheit_item2,authentische_verbundenheit_item3,authentische_verbundenheit_item4,authentische_verbundenheit_item5,vertrauensvolle_zusammenarbeit_item1,vertrauensvolle_zusammenarbeit_item2,vertrauensvolle_zusammenarbeit_item3,vertrauensvolle_zusammenarbeit_item4,vertrauensvolle_zusammenarbeit_item5,teamspirit_item1,teamspirit_item2,teamspirit_item3,teamspirit_item4,teamspirit_item5,entwicklung_item1,entwicklung_item2,entwicklung_item3,entwicklung_item4,entwicklung_item5,inspiration_item1,inspiration_item2,inspiration_item3,inspiration_item4,inspiration_item5,anerkennung_item1,anerkennung_item2,anerkennung_item3,anerkennung_item4,anerkennung_item5,neugier_item1,neugier_item2,neugier_item3,neugier_item4,neugier_item5,good_fightclub_item1,good_fightclub_item2,good_fightclub_item3,good_fightclub_item4,good_fightclub_item5,grit_item1,grit_item2,grit_item3,grit_item4,grit_item5,ownership_item1,ownership_item2,ownership_item3,ownership_item4,ownership_item5,fokus_item1,fokus_item2,fokus_item3,fokus_item4,fokus_item5,konsequenz_item1,konsequenz_item2,konsequenz_item3,konsequenz_item4,konsequenz_item5
1,employee_0_0_0_0,team_0_0_0,61.29172384859923,63.3141339099307,86.11887074888054,37.10517834315541,41.61463192031581,70.215986573736,64.94791645473009,46.761589401230516,70.19527551878339,22.31422918571146,76.41354246138577,27.54997913237986,32.34185879878662,48.493368000559826,49.234929920778356,23.561201340810147,27.275890031723087,52.10786585455418,64.58461668424664,63.903764566294264,27.220836198795496,38.7605767002545,75.22757091042489,62.719364828403236,72.46988177038152,68.73246209475762,83.20283623278671,49.37541724191183,58.518200247307476,35.51447362851218,53.28124770115841,46.29812372415211,69.71382290362858,32.32570456364934,14.320085587464018,66.66046185194523,22.688641870338127,60.171434988398744,57.40215471906678,34.413577363181595,30.643425544381035,82.57591859047922,38.229910797890945,57.264321382681864,78.93674647513583,85.69577461733664,23.01946657181088,42.09262711682285,55.53152381725198,72.03922405055494,64.76565771231478,86.03397133271835,48.94480660887733,61.40455739320853,52.48023242362567,95.46018150983375,90.83271879669735,59.722431031700694,34.53874519632706,75.50833220319393,59.516194737728426,64.72508228741432,87.88588107461072,45.61578133402897,79.39206827692834,66.0660466375832,54.789659573260465,23.94566298733276,49.11323010159431,39.753292732492916,25.907289318646676,41.6321832894744,50.47712732072503,91.54039371881404,72.54937043958788
2,employee_0_0_0_1,team_0_0_0,51.500801464354865,66.13042581114705,76.60467629275463,42.112379257669105,41.91275945695227,92.0206969313114,85.56537786606043,50.2805918289178,68.22810767960272,56.597187739542214,84.76312102651139,36.54444661622777,28.578439360659637,56.546247832443036,67.80577757618883,43.20662572153528,23.104033904244154,84.72468740163829,87.44599858482974,60.00715183857588,43.7644731266131,83.6838829586718,63.89821213350484,62.550337255503884,70.47810144019738,90.83399037106065,95.33815024772609,52.49991388758463,74.24672412618061,39.37206666907114,63.59422615265932,64.95489965506759,64.21682405246196,44.352377501272734,30.687197662948147,67.77178667537822,28.603496850766067,74.17285178715535,39.102350061600404,49.68860019294018,38.666258281713716,77.52230535846127,56.95147857897196,60.00350684104648,66.43177215905204,65.93173215761125,47.37374846556885,39.6613208680819,39.572744751385436,58.49059565256718,65.00490914838028,69.64980402095978,89.19614780527974,60.23335963841995,24.17143680124781,42.24814035319406,68.99222901343367,39.70828374138779,38.206912572094765,75.14692816446266,34.9545679829479,51.22765604358962,83.36564546661378,57.198448760656014,92.8802801058832,92.83999817130672,67.19017713580614,36.150963153438894,81.18228172316377,78.86515837433446,54.99289757110185,53.18672954928861,58.06153471223497,78.53898755012378,81.3401756869312
3,employee_0_0_0_2,team_0_0_0,54.018173288873726,70.37317343391267,71.64987338981732,37.50807184453522,31.561800298901037,65.71444335384672,55.981250823197364,27.447992924405266,70.48183313852702,24.46604884605165,67.4952701542013,16.50575951392038,25.96615532833674,52.720281267832114,57.09965433405624,52.562654502979136,21.77550927395093,64.1002246157442,78.47300321955325,41.26755282810386,28.764078187753572,64.06496038114815,66.88613540858765,32.352087662080535,83.70712859104651,48.31138222389422,76.08809288301805,34.264473702650655,40.138930462111176,25.33130963974579,58.554805440051865,48.06299080439578,79.10268358662329,27.390218415631473,27.018791526123355,76.59591200342224,18.017577150962644,56.937672054521684,24.72334488165075,42.30137321471442,28.658120616813257,65.52611402020054,8.630591632242162,44.77073894898922,58.93641852724588,65.05964389021165,41.67282515807168,55.84479170296098,36.5431185486379,56.965019673364566,10.682844079265372,72.37422950020257,71.79993844041498,58.17538311033328,28.719640255560115,69.93448598744052,79.09779997448071,41.96863612728083,34.62202625290445,63.03084359556821,18.561050473290013,40.843055180581295,85.60264655564778,35.23107988050995,74.80688436345518,69.00767951362607,53.607591435319165,31.07263357658558,75.26301974419543,49.549798116496795,59.16972320611468,14.654347126078518,45.938423436854166,72.47562214775049,71.80424086567592
4,employee_0_0_0_3,team_0_0_0,44.77621469779744,52.19277799741709,74.99073856716441,47.795671449095735,26.4861577295246,70.19059263359321,60.42178650267037,44.048524825001195,75.60643798509807,24.8968165208985,92.54529125940738,36.03589856649646,22.559178636461688,54.57466913530471,74.2700716402314,38.15215969301411,16.273610103558234,74.94295098147026,76.69912092902813,50.48362564859257,26.778733670305677,63.583202827866494,63.01214080140259,47.44193542803412,78.28860855502174,76.28493885717768,60.98283652917395,44.96669671678534,59.411550987068026,31.1631573326854,39.377730306133195,23.18380891953681,72.31401128501005,25.028192113810146,23.43286171826039,56.44525727166112,30.633207415041582,59.60272057017171,32.41663584911322,37.72663228413483,49.18817180051271,75.46756948735268,26.15169118997781,49.54735711427581,76.00826842242363,76.15641705898724,9.284487375811189,65.93956639750945,51.907021482683184,70.55048515560028,46.816488073010625,70.19471050232634,71.53065321923626,54.98081445053367,33.16253706111145,59.40833920018177,92.8788251722517,51.71593169437851,34.564683448353044,73.79324539960723,42.59111675208061,53.940179224456145,82.47867230186529,45.624672168064905,78.95820934968553,69.83116077766131,60.26513204215404,32.837102116392565,68.4921009619616,33.97965391288531,78.31930903544487,31.504268967469624,55.061454337059175,55.331159215091624,71.55738798787768
5,employee_0_0_0_4,team_0_0_0,59.08803632680415,73.05680052601402,95.26811388194773,46.52586433547111,43.780944467058205,73.54974706000729,87.6877007817449,43.36589754942075,83.03334118246109,59.976238940725416,78.575659465551,39.109698713666205,30.6652051860658,75.97627853724067,71.87270603091501,32.28129286682136,30.826001681121944,61.641497831524,75.39129057258094,44.316465895251696,40.0475758157266,42.281018193075255,68.29771220983015,41.78357607778942,80.49132527356724,65.49721471234649,77.30627000018181,51.401571479214724,56.09919688922302,17.52231148663185,68.54452043015351,46.82137391650074,100.0,43.43381827419482,22.180553379059152,65.13105518455318,25.70671102037572,40.077772851049374,52.48146169410318,35.741755485696885,40.397070633125786,71.29657226249616,1.896697955488289,43.22143948021167,60.44177594507046,83.22663439052425,31.033321266129835,67.7200515456112,54.08909281521957,56.13138748371888,34.120811002795996,70.56504316530052,79.95677848268485,69.57751583639138,22.292151710808035,71.69625032410812,76.0157177196004,58.28865197478003,43.26876379434577,85.9414377905577,41.98697527053651,60.354148407480274,74.75068520672409,42.289518578675924,60.358000093256834,85.86118090890768,61.76700442231432,34.08546428846547,72.13446130098957,55.05118551386665,39.45846162143108,38.45790440188177,66.64287686114794,74.929890392798,86.79053384516611
6,employee_0_0_0_5,team_0_0_0,57.88351174955475,67.59440786857645,86.2942106034509,42.508514732758016,35.54406269203693,86.82336850809025,59.18689053062054,52.608943684907956,80.74833319419983,47.118802339931925,69.98879037797577,40.62758359559739,27.712118584146413,51.67341601448931,54.62652480502249,70.0388669354787,37.45743538243797,79.52496218452231,88.96196172187308,57.07413395057851,30.305612826655373,51.06073774269366,68.8567242146798,54.989007663764475,68.7348993996925,94.96028194953539,100.0,42.714718712868894,72.8245289655074,53.07265923041883,52.003264904897165,50.53852334278869,70.00186999772522,46.14040117797251,33.947300283543605,61.15882169907033,26.562116185241454,70.20215925200714,69.74637578551831,35.27764782600984,32.385565453803814,71.07413797671599,26.227218386967493,50.34595695141616,69.50242576653311,80.29211870444158,36.62745828370663,70.36707478206515,53.68189476619258,46.62431880755233,67.19155795009297,84.52933016055951,43.45540337185716,49.04324742076757,30.91292387175734,67.21933629166422,95.10142323861834,47.164838992464496,51.317535441044065,61.57602961234539,55.80484878599213,62.2896422705887,76.2566621667403,59.66973324091435,100.0,100.0,73.58977435444648,47.72151722093048,95.641156497532,76.94527891626186,52.13202282819564,43.5368366312141,61.822526999791705,80.94338419310971,77.12991324828262
7,employee_0_0_0_6,team_0_0_0,44.45819011681162,56.95552253977925,64.3490965124899,36.845156584195315,28.198255963608013,64.96732542311707,51.059932279998634,43.116599008569366,67.7349612499458,33.37890899308244,64.01964703334808,25.83146768028975,21.34365494206203,42.09250071423135,41.23376295578541,34.8764730294114,28.768291261686226,56.54269624501368,64.57773601779348,54.66755080489413,29.13384831425424,37.761978477416875,72.14075822163133,62.20179895719697,59.844512699389554,80.95938885694413,69.8580032038466,45.95238796655344,56.99708912843425,31.959829510612884,53.90454071190019,44.65336805929141,64.20047307142262,27.74808960777787,22.59151652494419,65.33836614407717,24.61025508793123,56.30165387502322,48.359701164994625,25.68095469308347,42.00631424573554,81.18936071636544,0.0,52.0199902302992,63.21464208464924,66.31380527056194,23.709581315691697,33.215576512859684,18.580643115820155,24.756162695750717,14.988665458681709,58.05727914834916,77.11241221618582,65.47739141969058,27.18321093009095,25.93397989932406,84.72681245314143,44.12085714586429,35.196870271047764,60.81714858117661,25.595145725157035,67.38059082561668,71.05160840811628,48.610999864396575,70.71831198450893,75.44707383892317,50.31330993948336,32.123164566646,67.72822771930056,40.65787253812321,26.70553533182867,18.381220670065616,43.91391028397723,98.48481664539133,59.40705975389429
8,employee_0_0_0_7,team_0_0_0,62.90001565833048,83.47053193126831,79.784669916129,50.6061737613238,37.64470977496578,58.41450029529169,62.39271899255131,64.83142924396022,82.68828996026335,31.378541299948786,72.9826027029299,50.00832382390534,25.693641319994235,54.34901167553279,65.41794720828486,24.266968962535778,27.234719876811155,51.36252140324189,76.57757856439687,54.76784351530626,26.890718434071402,34.25167780963468,79.74130668066093,53.94572342801549,84.2538425477737,78.095957057889,67.41559772971742,42.849643978305956,64.23468132911918,31.657788635762017,61.682038320621544,65.34527913066971,100.0,42.413390503322596,53.9746055691172,97.82037171426622,25.80635275840693,68.10769500654139,43.76674392192627,49.158739734399,54.23449939766445,85.12245907405271,45.248083946058145,54.852797907086945,77.82843633727478,59.61713874039427,32.911603485628575,47.31473447604449,36.19532646126042,29.95071303787185,49.056302284594345,70.96480147976882,83.02587197817904,59.81767249289111,42.73959346882648,62.83319585408494,76.57020204183723,43.99886702222207,40.034124654977326,68.99901044227525,36.90501054418374,69.01671766280785,83.22781017022841,43.266150894987916,74.322679714785,79.06861385807557,62.27756807834322,31.6594512754046,65.46167828956351,53.521755116693384,63.978478473735116,50.46657523850345,55.29490569212543,100.0,81.00780104652662
9,employee_0_0_1_0,team_0_0_1,64.84420095066972,74.47722752780494,76.75574904912996,43.29969518533127,23.030079440790885,80.25232708891578,59.28830332670627,47.06583164493617,79.78150426338857,33.401746747197535,67.75724965781882,32.53529161307748,29.623009910810577,61.45216901576144,62.93300184677932,33.42082765909779,25.256329111667725,62.93959856582922,64.9509852066577,35.01315283915507,22.028886517628617,14.372160083254258,64.54099336155043,40.69824784884251,63.792805991113184,55.19476497648941,84.92701508649614,49.59038404346914,61.11025874855379,35.37535736022476,61.321915347326026,62.58631714569524,63.542648272021026,50.45609712071398,44.99780211363232,67.94874212395018,28.509509129626526,77.01792219363506,48.20068954444999,36.94908979929539,36.80177857010174,79.03118166909476,21.419940879745397,59.721610354266005,69.08696028548489,76.28580936431192,50.683247356392,86.36351037326784,63.19507953864996,30.5635159118794,55.32168645956522,75.11567407767974,75.02258248964878,65.3093695909964,32.252084002841016,72.07120338751633,68.05829819836799,49.06812481829044,41.41107063763571,64.83498210498628,11.499984286616122,46.6493580857818,67.10674370292762,38.236070314828005,63.31315177068058,76.47790842911168,47.94510322015282,30.746325854086262,54.96846856897828,47.295239894872466,60.38126250073213,19.444090966277745,54.323788600551396,83.94167396416698,54.30167978368262
10,employee_0_0_1_1,team_0_0_1,65.5692835228662,69.92941386859023,70.02129620735462,61.42702323825422,30.624792821113445,58.93341559967091,65.91948007252009,51.54124327053105,73.0320602742764,25.309082056989702,60.979025414719864,36.651872170069225,26.398891464369076,43.30374082513488,55.144578234075794,36.86899422638125,30.578323244704666,66.38757043833486,100.0,42.7304381915602,36.89022833146406,63.64919180980474,69.20175194522199,45.82015376069922,81.25744096419677,54.48445973545176,31.447953788708,47.82159829440366,58.44403643678924,32.03341101303783,84.41930353073371,66.9281099136306,55.790020107711555,47.15537738062519,45.71822277284162,43.5691851380529,33.67308728715873,64.63401880403043,52.786340111726574,32.552234840417796,14.78254438858843,72.00663076490805,37.995562221566075,52.69452826620944,49.27985927429235,74.43787050199015,0.0,87.73304926527948,49.909216518471766,40.04514040108318,35.46690107346997,76.34639640606268,78.97620580621862,73.18074424521546,41.95812035335323,35.875261077952416,58.14070558750281,36.40521358184754,32.54144672474807,71.58819913781088,33.710692622010086,47.36624730520948,72.65482093962046,39.93491603819357,62.875459064120264,67.22187113190938,39.535996197774494,35.62865307548799,63.720247936274504,49.92853589860826,50.77580358742711,15.201051722106241,44.18643938821581,68.54676203685169,42.20312476559606
